Depth,N
159.0,0.009299261675600723
160.0,0.01015644386519959
161.0,0.010451844657489138
162.0,0.009321761291620611
163.0,0.010287649577403385
164.0,0.00976649855439295
165.0,0.009241382903707988
166.0,0.011589679481325627
167.0,0.009917327428576995
168.0,0.009492532426785652
169.0,0.009923919645838011
170.0,0.010644205266291291
171.0,0.012563377772619467
172.0,0.010425991879924318
173.0,0.009623122098087217
174.0,0.009324591302105783
175.0,0.009083848972057466
176.0,0.01232633098178762
177.0,0.009762966177843417
178.0,0.008891313291545886
179.0,0.009226793710421325
180.0,0.011902740541511777
181.0,0.011027033115110468
182.0,0.011775988518684648
183.0,0.010024620161133622
184.0,0.012637113086876066
185.0,0.015565921867518625
186.0,0.01158086603309254
187.0,0.013501667703360584
188.0,0.012325631489831682
189.0,0.014595690890381475
190.0,0.014222992752199485
191.0,0.013858322509634298
192.0,0.01411540748277232
193.0,0.013135135919372713
194.0,0.012244181349810923
195.0,0.010124423099689509
196.0,0.012287648554001508
197.0,0.008521239051765658
198.0,0.012608177791431857
199.0,0.00942300981264301
200.0,0.008551395637190758
201.0,0.00850848978422559
202.0,0.008184788075102869
203.0,0.00905067715920857
204.0,0.009054084405805438
205.0,0.007848124197750498
206.0,0.00825455597621058
207.0,0.007937046523517555
208.0,0.008101538278185166
209.0,0.007931641829993386
210.0,0.0077580520019682134
211.0,0.008144285354325952
212.0,0.009293730372206224
213.0,0.00887702628197107
214.0,0.009889398430113872
215.0,0.007031312123838066
216.0,0.006383610043727646
217.0,0.008003238042261471
218.0,0.006472866715842297
219.0,0.007212094584205713
220.0,0.006807200294098371
221.0,0.008984137886924691
222.0,0.008878488399287596
223.0,0.007463394257467419
224.0,0.00868387280881883
225.0,0.0071251825029094926
226.0,0.00628918434899558
227.0,0.006071957223314107
228.0,0.007552345342869101
229.0,0.007072353683100592
230.0,0.006951004117086242
231.0,0.006386920301511123
232.0,0.007136209673818333
233.0,0.007047210684382346
234.0,0.0067849859798711255
235.0,0.007231571177680775
236.0,0.006558553123252771
237.0,0.006539031219894028
238.0,0.008404546394396521
239.0,0.00717183450352055
240.0,0.007218821711314759
241.0,0.007562742154423802
242.0,0.00639932120295096
243.0,0.00881053973118418
244.0,0.008528084991656573
245.0,0.006901973022257374
246.0,0.007195022908427783
247.0,0.006911226929659765
