Depth,N,Temperature
46.0,0.00914618177755308,0.5139722471103897
47.0,0.008733956747787265,0.5134864764684179
48.0,0.008201867629442488,0.5116074866442665
49.0,0.008149189852022487,0.5100614997707337
50.0,0.010668666943291716,0.5101543872082628
51.0,0.011465934342623734,0.5083772741973305
52.0,0.014445718126758688,0.5019119124188313
53.0,0.013374099950608039,0.4974190007575759
54.0,0.012976269553669121,0.49428308590367964
55.0,0.013205101088466936,0.4924398021915584
56.0,0.018268952989571437,0.4848173383477634
57.0,0.017706360428501385,0.47528837496392506
58.0,0.016501328321998226,0.4664975738945578
59.0,0.015718323945323687,0.4618499151756288
60.0,0.014110417907487221,0.45473249200680277
61.0,0.015361185674541861,0.4414292845804989
62.0,0.015729806142280065,0.4303140984693877
63.0,0.01746902201787513,0.4125635323979592
64.0,0.01593936642521907,0.3914919222789116
65.0,0.01648878722298684,0.36929588664965984
66.0,0.021384812876958172,0.33163943171768706
67.0,0.014882667492469796,0.3176377907879818
68.0,0.016267175892170256,0.29555769833711265
69.0,0.01602604516206172,0.27519944455782314
70.0,0.013966408623901479,0.26042420285714285
71.0,0.01384926819040514,0.24554851579176115
72.0,0.013753550171422163,0.2316595146258503
73.0,0.01234792754780177,0.22147113285147393
74.0,0.00904457186578863,0.21756008903061222
75.0,0.0077824280184414915,0.2156788998866213
76.0,0.010006898480605354,0.21049676938775513
77.0,0.008232053937274149,0.20736632692743767
78.0,0.008860893846396111,0.2042952573412698
79.0,0.00877628325435032,0.20111691411564622
80.0,0.008167236994426206,0.1984487028911565
81.0,0.007925769537472059,0.19655552290249437
82.0,0.007916111768873716,0.19467429489795918
83.0,0.008381707172595645,0.1928641925170068
84.0,0.00832071962781627,0.19267677375283446
85.0,0.009090044252887305,0.19072416686507937
86.0,0.008097398062806353,0.1901807956632653
87.0,0.008414890046676896,0.19040743098072563
88.0,0.008616223218290859,0.1881130464285714
89.0,0.007943442876453755,0.18935142471655325
90.0,0.008789555362185873,0.1891357013605442
91.0,0.008048214678602996,0.18952622006802716
92.0,0.008001930747161368,0.1892569105442177
93.0,0.007952055727261766,0.18824871255668932
94.0,0.008715130512589186,0.18763690277777775
